subject_name,chapter_name,quiz_title,question_text,option1,option2,option3,option4,correct_option_index
Mathematics,Algebra Basics,Solving Linear Equations,Solve for x: 2x = 10,2,5,8,10,2
Mathematics,Algebra Basics,Solving Linear Equations,Solve for y: y - 5 = 12,7,15,17,-7,3
Mathematics,Algebra Basics,Solving Linear Equations,Solve for z: 3z + 1 = 16,3,4,5,6,3
Mathematics,Geometry Fundamentals,Identifying Shapes,How many sides does a hexagon have?,5,6,7,8,2
Mathematics,Geometry Fundamentals,Identifying Shapes,What is the name of a triangle with two equal sides?,Equilateral,Isosceles,Scalene,Right-angled,2
Mathematics,Calculus I,Limits Introduction,What is the limit of (x^2 - 1)/(x - 1) as x approaches 1?,0,1,2,Undefined,3
Mathematics,Statistics Basics,Basic Probability,What is the probability of rolling a 4 on a standard six-sided die?,1/6,1/4,1/3,1/2,1
Physics,Classical Mechanics,Newton's Laws,Which law states that an object at rest stays at rest unless acted upon by a force?,First Law,Second Law,Third Law,Law of Gravitation,1
Physics,Classical Mechanics,Newton's Laws,What is the formula for Newton's Second Law?,F=ma,E=mc^2,P=IV,F=-kx,1
Physics,Classical Mechanics,Projectile Motion,"Ignoring air resistance, what shape does the path of a projectile follow?",Circle,Straight Line,Parabola,Hyperbola,3
Physics,Electromagnetism I,Coulomb's Law,Coulomb's Law describes the force between what?,Magnetic poles,Moving charges,Stationary charges,Masses,3
Physics,Electromagnetism I,Ohm's Law,What does Ohm's Law relate?,"Voltage, Current, Resistance","Force, Mass, Acceleration","Energy, Mass, Speed of Light","Pressure, Volume, Temperature",1
Chemistry,Introduction to Chemistry,Atomic Structure Basics,What is the central part of an atom called?,Electron,Proton,Neutron,Nucleus,4
Chemistry,Introduction to Chemistry,Atomic Structure Basics,Which particle has a positive charge?,Electron,Proton,Neutron,Photon,2
Chemistry,Organic Chemistry I,Naming Alkanes,What is the name of the alkane with 3 carbon atoms?,Methane,Ethane,Propane,Butane,3
Biology,Cell Biology,The Cell Membrane,The cell membrane is primarily composed of a bilayer of which molecules?,Proteins,Carbohydrates,Lipids,Nucleic Acids,3
Biology,Genetics,Mendelian Genetics,Who is considered the father of genetics?,Charles Darwin,Gregor Mendel,Louis Pasteur,James Watson,2
History,Ancient Civilizations,Mesopotamia,Mesopotamia was located between which two rivers?,Nile and Indus,Tigris and Euphrates,Yangtze and Yellow,Ganges and Brahmaputra,2
Computer Science,Introduction to Programming,Python Basics,Which keyword is used to define a function in Python?,func,define,def,function,3
Computer Science,Data Structures,Linked Lists,What is the primary disadvantage of a linked list compared to an array?,Slower insertion,Slower deletion,Requires more memory,Non-contiguous memory access causing slower random access,4
Mathematics,Algebra Basics,Solving Linear Equations,What's the derivative of x^2?,x,2x,x^2,2,2
Mathematics,Algebra Basics,Solving Linear Equations,How many degrees are in a triangle?,90,180,360,45,2
Mathematics,Algebra Basics,Solving Linear Equations,What is the solution to x if 3x + 4 = 19?,5,6,7,8,1
Physics,Classical Mechanics,Newton's Laws,The unit of electrical resistance is:,Volt,Ohm,Ampere,Watt,2
Physics,Classical Mechanics,Newton's Laws,Which law states that force equals mass times acceleration?,Newton's First Law,Newton's Second Law,Newton's Third Law,Hooke's Law,2
Physics,Classical Mechanics,Newton's Laws,What type of lens causes light rays to diverge?,Convex,Concave,Plano-convex,Plano-concave,2
Chemistry,Introduction to Chemistry,Atomic Structure Basics,What particle defines the atomic number of an element?,Electron,Neutron,Proton,Photon,3
Chemistry,Introduction to Chemistry,Atomic Structure Basics,Which element is most electronegative?,Oxygen,Fluorine,Chlorine,Nitrogen,2
Chemistry,Introduction to Chemistry,Atomic Structure Basics,An alkane with 3 carbons is called?,Methane,Ethane,Propane,Butane,3
Biology,Cell Biology,The Cell Membrane,Which of the following is a primary producer?,Lion,Grass,Human,Hawk,2
Biology,Cell Biology,The Cell Membrane,What cell structure controls entry into and out of the cell?,Nucleus,Cell membrane,Mitochondria,Ribosome,2
Biology,Cell Biology,The Cell Membrane,Who is known as the father of genetics?,Darwin,Mendel,Pasteur,Watson,2
History,Ancient Civilizations,Mesopotamia,What was a primary cause of World War I?,Assassination of Archduke Ferdinand,Invasion of Poland,The Russian Revolution,The fall of Rome,1
History,Ancient Civilizations,Mesopotamia,Who was the first emperor of Rome?,Julius Caesar,Augustus,Nero,Caligula,2
History,Ancient Civilizations,Mesopotamia,Which civilization was known for its cuneiform writing?,Egyptian,Mesopotamian,Roman,Greek,2
Geography,Physical Geography,Landforms,Which factor significantly influences climate?,Longitude,Altitude,Population,Economy,2
Geography,Physical Geography,Landforms,What type of landform is Mount Everest?,Plateau,Plain,Mountain,Valley,3
Geography,Physical Geography,Landforms,Population density is defined as:,Population per unit area,Total population,Population growth rate,Population age distribution,1
Computer Science,Introduction to Programming,Python Basics,A linked list is best described as:,Sequential storage,Random access storage,Nodes pointing to other nodes,Sorted array,3
